name,value,year,lastValue,rank,color
Real Madrid,11,13,10,2,288 48 36
AX Armani Exchange Olimpia Milan,6,13,6,8,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,6,13,5,9,343 100 43
Panathinaikkos OPAP Athens,6,13,6,10,149 100 24
Maccabi FOX Tel Aviv,4,13,3,13,42 96 61
Zalgris Kaunas,6,13,5,7,149 100 24
Buducnost VOLI Podgorica,3,13,3,15,216 100 32
Darussafaka Tekfen,1,13,1,16,149 100 24
FC Bayern Munich,7,13,6,6,374 100 42
FC Barcelona Lassa,6,13,6,7,346 100 39
Khimki Moscow Region,4,13,4,14,42 96 61
Herbalife Gran Canaria,5,13,5,12,42 96 61
Fenerbahçe Beko,13,14,12,1,42 96 61
Olympiacos Piraeus,9,14,8,5,346 100 39
CSKA Moscow,11,14,10,3,374 100 42
Anadolu Efes,9,14,9,4,216 100 32
Real Madrid,12,14,11,2,288 48 36
AX Armani Exchange Olimpia Milan,7,14,6,7,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,6,14,6,10,343 100 43
Panathinaikkos OPAP Athens,6,14,6,11,149 100 24
Maccabi FOX Tel Aviv,4,14,4,14,42 96 61
Zalgris Kaunas,6,14,6,7,149 100 24
Buducnost VOLI Podgorica,3,14,3,15,216 100 32
Darussafaka Tekfen,1,14,1,16,149 100 24
FC Bayern Munich,7,14,7,8,374 100 42
FC Barcelona Lassa,7,14,6,9,346 100 39
Khimki Moscow Region,5,14,4,12,42 96 61
Herbalife Gran Canaria,5,14,5,13,42 96 61
Fenerbahçe Beko,14,15,13,1,42 96 61
Olympiacos Piraeus,9,15,9,5,346 100 39
CSKA Moscow,11,15,11,3,374 100 42
Anadolu Efes,9,15,9,4,216 100 32
Real Madrid,12,15,12,2,288 48 36
AX Armani Exchange Olimpia Milan,7,15,7,9,347 100 45
KIROLBET Baskonia Vitoria-Gasteiz,7,15,6,10,343 100 43
Panathinaikkos OPAP Athens,7,15,6,11,149 100 24
Maccabi FOX Tel Aviv,5,15,4,13,42 96 61
Zalgris Kaunas,7,15,6,8,149 100 24
Buducnost VOLI Podgorica,3,15,3,15,216 100 32
Darussafaka Tekfen,2,15,1,16,149 100 24
FC Bayern Munich,8,15,7,6,374 100 42
FC Barcelona Lassa,8,15,7,7,346 100 39
Khimki Moscow Region,5,15,5,14,42 96 61
Herbalife Gran Canaria,6,15,5,12,42 96 61
Fenerbahçe Beko,15,16,14,1,42 96 61
Olympiacos Piraeus,10,16,9,5,346 100 39
